damage_level,image_path,num_detections,centroids
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00201.jpg,1,"[(353.58709716796875, 199.69175720214844)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00202.jpg,1,"[(357.01605224609375, 151.07260131835938)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00203.jpg,1,"[(358.146728515625, 194.25535583496094)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00204.jpg,1,"[(357.047607421875, 186.5751953125)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00205.jpg,1,"[(353.2301025390625, 190.66099548339844)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00206.jpg,1,"[(357.5941162109375, 176.04537963867188)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00207.jpg,1,"[(356.35089111328125, 156.1277618408203)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00208.jpg,1,"[(348.7766418457031, 213.54783630371094)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00209.jpg,1,"[(349.953125, 190.80572509765625)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00210.jpg,1,"[(343.18426513671875, 162.6595001220703)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00211.jpg,1,"[(353.4271240234375, 182.91586303710938)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00212.jpg,1,"[(346.84454345703125, 195.47068786621094)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00213.jpg,1,"[(356.6070861816406, 196.83529663085938)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00214.jpg,1,"[(355.650634765625, 197.60015869140625)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00215.jpg,1,"[(355.8546447753906, 174.9663543701172)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00216.jpg,1,"[(350.38543701171875, 165.70484924316406)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00217.jpg,1,"[(353.87200927734375, 150.22467041015625)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00218.jpg,1,"[(362.0302734375, 190.5535125732422)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00219.jpg,1,"[(360.8149719238281, 187.0417022705078)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00220.jpg,1,"[(352.5205078125, 166.2121124267578)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00221.jpg,1,"[(357.2146911621094, 168.68783569335938)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00222.jpg,1,"[(350.4425048828125, 164.43492126464844)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00223.jpg,1,"[(361.01409912109375, 200.3865203857422)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00224.jpg,1,"[(357.06781005859375, 192.11727905273438)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00225.jpg,1,"[(356.8792724609375, 172.58837890625)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00226.jpg,1,"[(352.79833984375, 159.8861541748047)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00227.jpg,1,"[(360.2057189941406, 196.57513427734375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00228.jpg,1,"[(347.766845703125, 175.89688110351562)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00229.jpg,1,"[(350.1294250488281, 169.10415649414062)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00230.jpg,1,"[(353.78265380859375, 199.04063415527344)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00231.jpg,1,"[(340.9828186035156, 179.92100524902344)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00232.jpg,1,"[(353.18658447265625, 156.9639892578125)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00233.jpg,1,"[(352.37042236328125, 198.64990234375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00234.jpg,1,"[(354.6072998046875, 198.75613403320312)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00235.jpg,1,"[(347.7659912109375, 158.38034057617188)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00236.jpg,1,"[(348.29449462890625, 170.23199462890625)]"
